date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:48:05	114/114	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2013%20May%202024%2009:18:04%20GMT	https://themeforest.unitedthemes.com/robots.txt		(from )
14:48:07	580141/580141	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2009:18:05%20GMT	https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/	C:/My%20Web%20Sites/alwise/themeforest.unitedthemes.com/wpversions/brooklyn/demo42/index.html	(from )
14:48:08	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Mon,%2013%20May%202024%2009:18:07%20GMT	https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/xmlrpc.php	C:/My%20Web%20Sites/alwise/themeforest.unitedthemes.com/wpversions/brooklyn/demo42/xmlrpc.php	(from https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/)
14:48:08	1261/1261	---M--	200	added ('OK')	image/png	etag:%22660f36e7-4ed%22	https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/uploads/2017/06/brooklyn-32.png	C:/My%20Web%20Sites/alwise/themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/uploads/2017/06/brooklyn-32.png	(from https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/)
14:48:08	1536/1536	---M--	200	added ('OK')	image/png	etag:%22660f36e5-600%22	https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/uploads/2017/06/brooklyn-57.png	C:/My%20Web%20Sites/alwise/themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/uploads/2017/06/brooklyn-57.png	(from https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/)
14:48:08	1669/1669	---M--	200	added ('OK')	image/png	etag:%22660f36e8-685%22	https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/uploads/2017/06/brooklyn-72.png	C:/My%20Web%20Sites/alwise/themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/uploads/2017/06/brooklyn-72.png	(from https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/)
14:48:09	2067/2067	---M--	200	added ('OK')	image/png	etag:%22660f36e7-813%22	https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/uploads/2017/06/brooklyn-114.png	C:/My%20Web%20Sites/alwise/themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/uploads/2017/06/brooklyn-114.png	(from https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/)
14:48:09	2492/2492	---M--	200	added ('OK')	image/png	etag:%22660f36e8-9bc%22	https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/uploads/2017/06/brooklyn-144.png	C:/My%20Web%20Sites/alwise/themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/uploads/2017/06/brooklyn-144.png	(from https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/)
14:48:09	1645/1645	---M--	200	added ('OK')	text/css	etag:%22660f3607-66d%22	https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.6	C:/My%20Web%20Sites/alwise/themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/plugins/contact-form-7/includes/css/stylesb62d.css	(from https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/)
14:48:10	56552/56552	---M--	200	added ('OK')	text/css	etag:%22660f3637-dce8%22	https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.1.8	C:/My%20Web%20Sites/alwise/themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/plugins/revslider/public/assets/css/rs6fe13.css	(from https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/)
14:48:10	14382/14382	---MC-	200	added ('OK')	application/rss+xml	etag:%22db04f6f961073cae77ece1b39e7a7f11%22	https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/feed/	C:/My%20Web%20Sites/alwise/themeforest.unitedthemes.com/wpversions/brooklyn/demo42/feed/index.html	(from https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/)
14:48:11	1778/1778	---MC-	200	added ('OK')	application/rss+xml	etag:%227c0a8618c560b51faa7ce9ed25489e2b%22	https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/comments/feed/	C:/My%20Web%20Sites/alwise/themeforest.unitedthemes.com/wpversions/brooklyn/demo42/comments/feed/index.html	(from https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/)
14:48:11	44356/44356	---M--	200	added ('OK')	text/css	etag:%22660f367b-ad44%22	https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/themes/brooklyn/css/ut.core.fonts.min.css?ver=5.3.6	C:/My%20Web%20Sites/alwise/themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/themes/brooklyn/css/ut.core.fonts.min48f5.css	(from https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/)
14:48:11	122955/122955	---M--	200	added ('OK')	text/css	etag:%22660f367b-1e04b%22	https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/themes/brooklyn/css/ut.core.plugins.min.css?ver=5.3.6	C:/My%20Web%20Sites/alwise/themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/themes/brooklyn/css/ut.core.plugins.min48f5.css	(from https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/)
14:48:12	34587/34587	---M--	200	added ('OK')	text/css	etag:%22660f367b-871b%22	https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/themes/brooklyn/css/ut.shortcode.min.css?ver=5.3.6	C:/My%20Web%20Sites/alwise/themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/themes/brooklyn/css/ut.shortcode.min48f5.css	(from https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/)
14:48:12	195118/195118	---M--	200	added ('OK')	text/css	etag:%22660f367b-2fa2e%22	https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/themes/brooklyn/css/ut.vc.shortcodes.min.css?ver=5.3.6	C:/My%20Web%20Sites/alwise/themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/themes/brooklyn/css/ut.vc.shortcodes.min48f5.css	(from https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/)
14:48:12	27854/27854	---M--	200	added ('OK')	text/css	etag:%22660f367a-6cce%22	https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/themes/brooklyn/css/ut.theme.min.css?ver=4.9.5	C:/My%20Web%20Sites/alwise/themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/themes/brooklyn/css/ut.theme.min55fe.css	(from https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/)
14:48:12	484758/484758	---M--	200	added ('OK')	text/css	etag:%22660f3608-76596%22	https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=5.8	C:/My%20Web%20Sites/alwise/themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/plugins/js_composer/assets/css/js_composer.min41a3.css	(from https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/)
14:48:13	96873/96873	---M--	200	added ('OK')	application/javascript	etag:%22660f371c-17a69%22	https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/My%20Web%20Sites/alwise/themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-includes/js/jquery/jquery4a5f.js	(from https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/)
14:48:13	291147/291147	---M--	200	added ('OK')	text/css	etag:%22660f3678-4714b%22	https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/themes/brooklyn/style.css?ver=4.9.5	C:/My%20Web%20Sites/alwise/themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/themes/brooklyn/style55fe.css	(from https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/)
14:48:13	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%22660f371c-2748%22	https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/alwise/themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/)
14:48:13	148822/148822	---M--	200	added ('OK')	application/javascript	etag:%22660f3638-24556%22	https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/plugins/revslider/public/assets/js/revolution.tools.min.js?ver=6.0	C:/My%20Web%20Sites/alwise/themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/plugins/revslider/public/assets/js/revolution.tools.minf049.js	(from https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/)
14:48:14	289812/289812	---M--	200	added ('OK')	application/javascript	etag:%22660f3638-46c14%22	https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/plugins/revslider/public/assets/js/rs6.min.js?ver=6.1.8	C:/My%20Web%20Sites/alwise/themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/plugins/revslider/public/assets/js/rs6.minfe13.js	(from https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/)
14:48:14	33895/33895	---M--	200	added ('OK')	application/javascript	etag:%22660f366c-8467%22	https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/plugins/ut-shortcodes/js/plugins/modernizr/modernizr.min.js?ver=2.6.2	C:/My%20Web%20Sites/alwise/themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/plugins/ut-shortcodes/js/plugins/modernizr/modernizr.min61da.js	(from https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/)
14:48:14	9300/9300	---M--	200	added ('OK')	application/javascript	etag:%22660f3682-2454%22	https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/themes/brooklyn/js/jquery.queryloader2.min.js?ver=2.9.0	C:/My%20Web%20Sites/alwise/themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/themes/brooklyn/js/jquery.queryloader2.min5b0a.js	(from https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/)
14:48:14	174915/174915	---M--	200	added ('OK')	application/javascript	etag:%22660f3683-2ab43%22	https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/themes/brooklyn/js/ut-scriptlibrary.min.js?ver=4.9.5	C:/My%20Web%20Sites/alwise/themeforest.unitedthemes.com/wpversions/brooklyn/demo42/wp-content/themes/brooklyn/js/ut-scriptlibrary.min55fe.js	(from https://themeforest.unitedthemes.com/wpversions/brooklyn/demo42/)
